Ord;Odds
Grønland;1.03
Færøerne;1.03
Folk/-et;1.05
Dronning Mary;1.08
Glæde/-r;1.1
Udsendte;1.1
Krig/-en;1.1
Verden;1.1
Forsvaret;1.15
2025;1.15
Ukraine;1.15
Beredskabet;1.15
Kronprinsen;1.15
Børn;1.15
Politi/-et;1.2
Royal Run;1.2
Nytårsaften;1.2
Fred/-en;1.25
Håb/-et;1.25
Unge;1.25
Særlig/-t;1.25
Europa;1.25
2026;1.25
Mor;1.25
Prins Joachim;1.25
Sydslesvig;1.25
Christian;1.3
Dronning Margrethe;1.3
Forpligtet;1.5
Forbundne;1.5
Ungdommen;1.5
Taknemmelig/-hed;1.5
Stolt/-e;1.5
Soldater;1.5
Klima/-et;1.5
Nytårshilsen;1.5
Mindretal;1.5
Prinsesse Marie;1.6
Sommer/-en;1.75
Nærmeste;1.75
Frihed/-en;1.75
Arbejde/-t;1.75
Mellemøsten;1.75
Traditioner;1.75
Generationer;2.0
Ældre;2.0
EU;2.0
Dagligdag/-en;2.0
Opmærksomhed/-en;2.0
Nytårsønsker;2.0
Naturen/-s;2.0
Kærlighed;2.0
Fællesskab/-et;2.0
Uro/-en;2.0
Forventning/-er;2.0
Befolkning/-en;2.0
Ansvar;2.0
Israel;2.0
Omsorg;2.0
Sikkerhed;2.0
Frivillig/-e;2.0
Isabella;2.5
Tillid/-en;2.5
Rigsfællesskab/-et;2.5
Opgaver;2.5
Atleter;2.5
Medmennesker;2.5
Uro;2.5
Udsatte;2.5
Klimaforandringer/-ne;2.5
Nordatlanten;2.5
Jul/-en;2.5
Forskellige;2.5
Muligheder;2.5
Kultur/-en;3.0
Livgarden;3.0
Medfølelse;3.0
Student/-er;3.0
Terror/-en;3.0
Velvilje;3.0
Jord/-en;3.0
Global/-e;3.0
Værnepligt;3.0
Grænse/-n;3.0
Konflikt/-en;3.0
Letland;3.0
Allierede;3.0
Vincent;3.0
Fødselsdag/-e;3.0
Sundhedspersonale/-t;3.0
Flygtninge;3.0
Ensom/-hed;3.0
Civil/-e;3.0
Skærm/-en;3.0
København;3.0
NATO;3.0
Demokrati/-et;3.0
Alvor/-en;3.0
Teknologi/-en;3.0
Samhørighed/-en;3.0
Sociale Medier;3.0
Frankrig;3.0
Hjerte/-t;3.5
Respekt;3.5
Kongeskibet;3.5
Josephine;3.5
Samarbejde;4.0
Krise/-n;4.0
Gardehusarregimentet;4.0
Vejr/-et;4.0
Tilbageblik;4.0
Skole/-r;4.0
Pårørende;4.0
Nordjylland;4.0
